                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.7508,                 1.7336,                 1.7122,                0.90391,                    0.4,                0.55595,                0.24897,                 1.8521,                 2.4191,                 2.0385,              0.0019164,              0.0019164,              0.0019164
                     79,                  1.628,                 1.7709,                 1.7206,                0.98941,                    0.4,                0.53591,                0.21291,                 1.5823,                 3.0861,                 1.8926,              0.0019153,              0.0019153,              0.0019153
                     80,                 1.5517,                 1.7483,                 1.6482,                 0.8011,                    0.4,                0.50889,                0.19615,                 1.6438,                 2.6381,                 1.9651,              0.0019142,              0.0019142,              0.0019142
                     81,                 1.6349,                  1.741,                 1.7168,                0.79236,                    0.4,                0.51732,                0.22341,                  1.661,                 2.2303,                 1.8025,              0.0019131,              0.0019131,              0.0019131
                     82,                 1.6233,                 1.7374,                 1.6616,                0.91849,                    0.6,                0.74885,                0.26542,                 2.3232,                 1.6939,                 2.3546,               0.001912,               0.001912,               0.001912
                     83,                 1.6306,                  1.768,                 1.6998,                      1,                 0.3785,                0.60262,                0.21179,                 2.3089,                 1.7767,                 2.3452,              0.0019109,              0.0019109,              0.0019109
                     84,                 1.6182,                 1.7429,                 1.6263,                  0.342,                    0.8,                0.45583,                0.16858,                 2.2888,                 1.8898,                 2.3746,              0.0019098,              0.0019098,              0.0019098
                     85,                 1.5242,                 1.5534,                 1.5949,                0.56797,                0.53594,                0.45158,                0.20783,                 2.3811,                 2.2732,                 2.4387,              0.0019087,              0.0019087,              0.0019087
                     86,                 1.5516,                  1.686,                  1.657,                      1,                0.38103,                0.57386,                0.13273,                 2.4308,                 2.1326,                 2.4971,              0.0019076,              0.0019076,              0.0019076
                     87,                 1.5623,                 1.7168,                 1.6845,                  0.656,                    0.4,                0.54703,                0.15458,                 2.1672,                 2.3592,                 2.4092,              0.0019065,              0.0019065,              0.0019065
                     88,                 1.5931,                 1.7432,                 1.7305,                0.93073,                    0.6,                0.71209,                0.25303,                 2.1153,                 1.9651,                 2.5052,              0.0019054,              0.0019054,              0.0019054
                     89,                 1.6169,                 1.7109,                 1.7107,                  0.688,                    0.6,                0.73944,                0.32046,                 2.0754,                 2.0766,                 2.3445,              0.0019043,              0.0019043,              0.0019043
                     90,                  1.601,                 1.6191,                 1.6542,                0.43639,                    0.8,                0.65382,                0.28755,                 1.7728,                 1.9918,                 1.8312,              0.0019032,              0.0019032,              0.0019032
                     91,                 1.5989,                 1.6804,                 1.6767,                0.47489,                    0.8,                0.62278,                0.28621,                 1.7433,                 1.8303,                 1.6293,              0.0019021,              0.0019021,              0.0019021
                     92,                 1.6256,                 1.6292,                 1.6449,                0.89099,                    0.4,                0.55839,                0.22892,                 1.8337,                 2.1987,                  1.846,               0.001901,               0.001901,               0.001901
                     93,                 1.5297,                 1.5983,                 1.6445,                      1,                 0.3951,                0.54364,                0.26257,                 1.9497,                  2.229,                 2.0184,              0.0018999,              0.0018999,              0.0018999
                     94,                 1.5319,                 1.7094,                 1.6158,                0.97528,                    0.4,                 0.6087,                0.17644,                 2.1993,                 1.9268,                 2.2296,              0.0018988,              0.0018988,              0.0018988
                     95,                 1.4845,                 1.5748,                  1.555,                0.90736,                    0.6,                0.75474,                 0.2236,                 2.2035,                 1.7336,                 2.5271,              0.0018977,              0.0018977,              0.0018977
                     96,                 1.5865,                 1.7165,                 1.6769,                0.99317,                    0.4,                0.59836,                 0.2459,                 2.2705,                 1.7839,                 2.6171,              0.0018966,              0.0018966,              0.0018966
